French,English
un,A
en,in
le,THE
et,And
de,of
avoir,to have
que,that
ne,born
dans,In
ce,This
il,he
qui,Who
pas,not
pour,For
sur,on
se,se
son,her
plus,more
pouvoir,power
par,by
je,I
avec,with
tout,All
faire,TO DO
nous,We
mettre,put
autre,other
on,we
mais,but
leur,their
comme,as
ou,Or
si,if
avant,Before
y,y
dire,say
elle,She
devoir,duty
donner,give
deux,two
prendre,take
aussi,Also
celui,the one
bien,GOOD
cela,that
fois,times
vous,YOU
encore,Again
vouloir,to want
nouveau,new
aller,go
entre,between
premier,first
aucun,none
grand,big
mon,My
me,me
moins,less
quelque,some
lui,him
temps,time
savoir,know
falloir,to need
voir,see
notre,OUR
sans,without
dont,of which
raison,reason
monde,world
non,No
monsieur,Sir
an,year
jour,day
trouver,find
demander,ask
alors,SO
venir,come
personne,person
rendre,give back
part,go
dernier,last
lequel,which
pendant,during
passer,pass
peu,little
depuis,Since
suite,following
bon,Good
comprendre,to understand
rester,stay
point,point
ainsi,Thus
heure,hour
toujours,always
tenir,hold
porter,to carry
parler,talk
seul,alone
montrer,to show
certain,certain
fort,strong
tu,you
continuer,continue
pays,country
fin,END
penser,think
lieu,place
partie,part
quand,When
trois,three
contre,against
sous,below
ensemble,together
chose,thing
enfant,child
suivre,follow
cause,cause
place,place
seulement,only
moi,Me
vie,life
politique,policy
jusque,until
croire,believe
homme,man
cas,case
commencer,to start
compter,count
fait,do
tel,such
petit,little
question,question
donc,SO
quel,what
entendre,hear
beaucoup,a lot
chaque,each
droit,right
moment,moment
travail,work
femme,women
attendre,to wait for
remettre,to put back
jeune,young
permettre,allow
occuper,to occupy
gouvernement,government
eux,them
appeler,to call
devenir,become
partir,leave
soit,either
ici,here
rien,Nothing
plan,plan
cours,course
nom,name
famille,family
effet,effect
affaire,affair
arriver,arrive
servir,serve
mois,month
jamais,Never
car,because
possible,possible
tant,so much
vers,towards
besoin,need
revenir,to come back
sembler,seem
moyen,AVERAGE
groupe,band
rapport,report
maintenant,NOW
pourquoi,Why
meilleur,best
vue,view
trop,too much
laisser,to leave
ordre,order
devant,in front
recevoir,receive
long,long
service,service
ministre,minister
vivre,live
chez,at the house of
te,you
rappeler,remind
face,face
accepter,accept
agir,to act
simple,simple
votre,your
important,important
mieux,better
plusieurs,several
jouer,play
mot,word
poser,to set down
situation,situation
offrir,to offer
force,strength
national,national
projet,project
ni,neither
choisir,choose
toucher,to touch
train,train
aujourd'hui,Today
comment,how
puis,Then
gens,people
propre,own
surtout,Above all
aimer,to like
sens,sense
selon,according to
semaine,week
ci,this
retrouver,find
nombre,number
perdre,lose
quatre,four
compte,account
expliquer,explain
ouvrir,open
gagner,earn
exemple,example
lorsque,when
mesure,measure
histoire,history
ville,city
ensuite,Next
guerre,war
loi,law
haut,high
refuser,refuse
bureau,desk
exister,exist
quant,as to
mort,dead
mal,wrong
mauvais,bad
condition,condition
lire,read
changer,to change
oui,Yes
public,audience
humain,human
international,international
cinq,five
travailler,to work
souvent,often
vrai,TRUE
madame,Mrs
jeu,game
quoi,What
entreprise,business
coup,cut
difficile,difficult
or,gold
assurer,ensure
essayer,to try
juste,just
social,social
million,million
sortir,to go out
terme,term
longtemps,a long time
reprendre,to resume
prix,price
mener,carry out
information,information
courant,fluent
appartenir,belong
assez,enough
chacun,each
concerner,concern
maison,House
d'abord,First of all
risquer,risk
niveau,level
rencontrer,meet
ton,your
apprendre,learn
obtenir,get
chercher,seek
entrer,enter
proposer,to propose
clair,clear
programme,program
loin,far
ligne,line
apporter,bring
libre,free
utiliser,to use
atteindre,reach
tenter,to attempt
enfin,Finally
sorte,sort
cependant,However
tard,late
importer,import
action,action
relation,relationship
sujet,subject
livre,book
ajouter,add
ailleurs,elsewhere
vraiment,Really
recherche,research
reste,stay
doute,doubt
produire,produce
forme,shape
nombreux,many
dix,ten
produit,product
relever,raise
peuple,people
second,second
minute,minute
prochain,next
autant,as much
position,position
chef,chief
particulier,particular
effort,effort
parmi,among
membre,member
tirer,to pull
beau,beautiful
plein,full
juger,judge
ancien,ancient
personnel,staff
titre,title
soir,evening
parti,left
unique,unique
souhaiter,to wish
afin,in order to
objet,object
engager,engage
peine,penalty
parfois,Sometimes
lors,during
aider,help
terminer,to end
base,base
main,hand
voix,voice
retour,back
occasion,occasion
gros,fat
regarder,look
plupart,mostly
terre,earth
valoir,to be worth
dollar,dollar
confiance,trust
choix,choice
page,page
notamment,notably
type,kind
but,aim
chance,chance
grave,severe
prise,socket
matin,Morning
remplacer,replace
avancer,move forward
six,six
valeur,value
principe,principle
entier,entire
aide,help
marquer,to mark
pourtant,Yet
commission,commission
cesser,cease
poursuivre,pursue
maintenir,maintain
principal,main
exprimer,express
ami,friend
bas,down
avenir,future
argent,money
imposer,impose
mise,putting
eau,water
sauf,except
milieu,medium
presque,almost
attention,attention
cadre,frame
lettre,letter
mouvement,movement
former,form
conduire,to drive
poste,job
demande,request
futur,future
acte,act
priver,deprive
constituer,constitute
centre,center
milliard,billion
lier,bind
obliger,to obligate
accord,agreement
craindre,to fear
oublier,forget
propos,about
quitter,to leave
bout,end
population,population
responsable,responsible
route,road
lancer,throw
toi,You
fonction,function
emploi,job
objectif,objective
limite,limit
journal,newspaper
annoncer,announce
tour,round
envoyer,send
puisque,since
changement,change
garder,keep
partager,share
interdire,to forbid
finir,finish
placer,to place
payer,pay
esprit,spirit
domaine,domain
diriger,direct
sentir,feel
nature,nature
charger,load
noter,to note
parent,parent
tomber,to fall
mondial,global
court,short
disposer,dispose
parole,speech
fond,bottom
public,audience
faux,fake
genre,gender
retenir,retain
sein,breast
parvenir,achieve
corps,body
appel,call
organisation,organization
secteur,sector
noir,black
double,double
nation,nation
conseil,advice
soutenir,sustain
paix,peace
convaincre,convince
partout,everywhere
direction,direction
manquer,miss
actuel,current
opposer,oppose
nuit,night
d'ailleurs,Besides
traiter,to treat
indiquer,indicate
signifier,mean
technique,technical
rapidement,quickly
autour,around
tuer,kill
riche,rich
rue,Street
bref,Short
violence,violence
article,article
nommer,appoint
gauche,LEFT
solution,solution
voie,way
durer,last
canadien,canadian
erreur,error
livrer,deliver
capable,able
simplement,simply
souvenir,memory
large,wide
local,local
contraire,opposite
inviter,invite
pied,foot
mission,assignment
fille,girl
texte,text
chambre,bedroom
prouver,prove
acheter,buy
profiter,enjoy
production,production
ignorer,ignore
directeur,director
justice,justice
fixer,to stare
croissance,growth
risque,risk
souffrir,suffer
estimer,to estimate
endroit,place
impossible,impossible
arme,armed
amener,to bring
viser,to aim
retirer,withdraw
preuve,evidence
image,picture
date,date
travers,through
total,total
conserver,preserve
campagne,campaign
tourner,turn
participer,participate
vieux,old
accorder,to agree
respecter,respect
passage,passage
essentiel,essential
adopter,adopt
rapide,fast
environ,approximately
admettre,admit
subir,undergo
assister,to assist
affirmer,affirm
couvrir,cover
financier,financial
processus,process
militaire,military
frais,costs
soumettre,submit
industrie,industry
porte,door
victime,victim
territoire,territory
pauvre,poor
taux,rate
cent,hundred
constater,notice
prononcer,pronounce
organiser,organize
blanc,white
origine,origin
vendre,sell
vite,quickly
signe,sign
dangereux,dangerous
importance,importance
suffire,suffice
espoir,hope
davantage,any further
langue,language
mourir,die
faible,weak
employer,to employ
saisir,to input
accompagner,to accompany
actuellement,Currently
union,union
supposer,assume
ceci,this
exiger,require
intervenir,to intervene
fils,son
d'accord,All right
fournir,provide
abandonner,give up
discuter,discuss
battre,beat
pire,worse
adresser,address
intervention,intervention
avis,notice
demeurer,remain
chiffre,figure
consacrer,devote
attirer,attract
divers,miscellaneous
appliquer,apply
frapper,hit
peur,fear
parlement,parliament
remplir,fill
forcer,force
lutte,struggle
naturel,natural
air,air
auteur,author
fermer,close
heureux,happy
crise,crisis
publier,publish
toutefois,however
pousser,push
quelqu'un,someone
discours,speech
banque,bank
instant,moment
reposer,to rest
opinion,opinion
classe,class
commun,common
compagnie,company
intention,intention
anglais,English
feu,fire
satisfaire,satisfy
observer,observe
neuf,nine
construire,build
durant,during
secret,secret
plaisir,pleasure
message,message
proposition,proposal
combien,How much
dossier,case
absence,absence
cher,Dear
plaire,to please
connaissance,awareness
nul,null
signer,sign
couper,cut
salle,room
situer,locate
souligner,emphasize
source,source
crime,crime
installer,install
facile,easy
augmenter,increase
respect,respect
impression,impression
octobre,october
police,police
contrat,CONTRACT
normal,normal
attitude,attitude
formation,training
lever,lift
proche,close
direct,direct
faute,mistake
figurer,figure
pratique,practical
finalement,Ultimately
allemand,German
pression,pressure
imaginer,imagine
champ,field
film,movie
charge,charge
envisager,consider
ressource,resource
monter,to go up
promettre,to promise
motion,motion
concentrer,focus
commune,common
composer,compose
chemin,path
zone,area
province,province
exactement,Exactly
conflit,conflict
hors,out
terrain,ground
mars,March
tellement,such
usage,use
demain,tomorrow
hier,yesterday
confier,entrust
remarquer,to remark
espace,space
condamner,condemn
capital,capital
lien,link
voiture,car
discussion,discussion
huit,eight
justifier,justify
agent,agent
sentiment,feeling
directement,directly
limiter,restrict
raconter,tell
honorable,honorable
contact,contact
conclure,conclude
euh,uh
ouvert,open
investissement,investment
insister,insist
fruit,fruit
avantage,advantage
historique,historical
probablement,probably
voyage,journey
sept,seven
marche,walk
garde,guard
commercial,commercial
critique,critical
baisser,lower
culture,culture
cacher,hide
somme,sum
exposer,expose
mer,sea
rapporter,report
appuyer,press
client,customer
rentrer,to return
civil,civil
liste,list
juin,June
danger,hazard
complexe,complex
commerce,trade
transport,transportation
institution,institution
janvier,January
attente,waiting
mai,may
septembre,september
environnement,environment
franc,franc
positif,positive
scientifique,scientist
papier,paper
expression,expression
disposition,arrangement
carte,map
association,association
protection,protection
budget,budget
fonder,found
structure,structure
commander,order
exercer,exercise
amour,love
manifester,manifest
menacer,threaten
conseiller,advise
complet,complete
opposition,opposition
maladie,disease
outre,besides
tandis,while
construction,construction
bande,band
signal,signal
rejeter,dismiss
novembre,november
fonds,funds
voisin,neighbor
presse,press
rouge,red
autoriser,to allow
effectuer,perform
reprise,reprise
central,central
faveur,favor
officiel,official
document,document
bord,edge
retourner,return
professionnel,professional
aspect,appearance
animal,animal
utile,useful
inscrire,register
concurrence,competition
auparavant,previously
mille,thousand
absolument,absolutely
prison,prison
rejoindre,join
confirmer,confirm
salaire,salary
lecture,reading
revenu,income
attaquer,tackle
table,table
remonter,go back up
certes,certainly
contribuer,contribute
autrement,otherwise
ferme,farm
lourd,heavy
susciter,to stimulate
avril,april
dur,hard
application,application
lutter,to struggle against
profit,profit
contenir,contain
communication,communication
jugement,judgement
manque,lack
modifier,to modify
traverser,to cross
transformer,transform
engagement,commitment
mardi,Tuesday
vote,vote
renvoyer,send back
regretter,to regret
recommandation,recommendation
consister,consist
rencontre,encounter
surprendre,surprise
circonstance,circumstance
administration,administration
vert,Green
combat,fight
sensible,sensitive
malade,sick
merci,THANKS
vitesse,speed
visite,visit
puissance,power
certainement,certainly
contenter,satisfy
perte,loss
citoyen,citizen
citer,to quote
partenaire,partner
camp,camp
vendredi,Friday
avance,advance
destiner,destin
influence,influence
nord,north
lundi,Monday
interroger,question
causer,cause
vente,sale
ramener,to bring back
soldat,soldier
provoquer,to provoke
concevoir,design
poids,weight
voici,here is
moindre,lesser
convenir,suit
examiner,examine
soin,care
mesurer,measure
traitement,treatment
jeudi,THURSDAY
impliquer,involve
logique,logic
individu,individual
demi,half
combattre,combat
violent,violent
science,science
suivant,following
emprunter,borrow
conscience,awareness
comporter,include
sang,blood
millier,thousand
emporter,take away
initiative,initiative
traduire,translate
vif,lively
exact,exact
exception,exception
doubler,double
mode,fashion
industriel,industrial
musique,music
gestion,management
honneur,honor
vaste,vast
tendre,tender
physique,physical
accuser,to accuse
parfaitement,perfectly
fonctionner,function
envers,towards
distribuer,distribute
existence,existence
global,overall
professeur,teacher
tendance,tendency
dommage,Shame
note,note
maximum,maximum
moteur,engine
version,version
relatif,relative
mercredi,Wednesday
sinon,Otherwise
entreprendre,undertake
couple,couple
profond,deep
etc,etc
retraite,retirement
sortie,exit
promesse,promise
entretenir,maintain
habiter,live
quartier,neighborhood
art,art
accueillir,to welcome
vivant,alive
rire,laugh
avocat,lawyer
crainte,fear
commettre,commit
soutien,support
facilement,easily
urgence,emergency
jeter,throw
religieux,religious
analyse,analysis
disponible,available
regard,glance
enlever,to remove
analyser,analyze
mariage,marriage
couleur,color
sauver,save
conclusion,conclusion
bleu,blue
dehors,out
remercier,thank
actif,active
parlementaire,parliamentary
fil,thread
collectif,collective
excellent,excellent
moral,moral
habitude,habit
code,coded
puissant,powerful
recueillir,collect
fabriquer,make
accident,accident
extraordinaire,extraordinary
dimanche,Sunday
envie,envy
enregistrer,save
rare,rare
parc,park
sud,south
efficace,effective
moderne,modern
voter,vote
nourrir,to feed
exceptionnel,exceptional
rechercher,to research
palestinien,Palestinian
bras,arm
producteur,producer
garantir,to guarantee
geste,gesture
roman,novel
augmentation,increase
lendemain,the following day
policier,police officer
pratiquer,practice
facteur,postman
vingt,twenty
revoir,goodbye
retard,delay
renforcer,to strenghten
silence,silence
perspective,perspective
qualifier,to qualify
absolu,absolute
bateau,boat
troupe,troop
course,race
exercice,exercise
fondamental,fundamental
visage,face
printemps,spring
machine,machine
village,village
britannique,British
surveiller,to watch
droite,RIGHT
organisme,body
bataille,battle
port,port
naissance,birth
majeur,major
accomplir,accomplish
circuit,circuit
terrible,terrible
exigence,requirement
froid,cold
chapitre,chapter
quotidien,daily
clairement,clearly
inspirer,inspire
permanent,permanent
juge,judge
joindre,join
juillet,July
ordinaire,ordinary
candidat,candidate
rapprocher,bring closer
russe,Russian
justement,exactly
habitant,inhabitant
formule,formula
mur,wall
tribunal,court
fier,proud
manger,eat
soulever,raise
travailleur,worker
journaliste,journalist
marque,brand
utilisation,use
offre,offer
habituel,usual
survivre,survive
populaire,popular
dirigeant,leader
participation,participation
totalement,totally
constitution,constitution
informer,inform
fou,mad
attacher,attach
renouveler,renew
asseoir,Sit
samedi,SATURDAY
transfert,transfer
renoncer,give up
roi,king
soi,self
oh,Oh
foi,faith
motif,pattern
plaindre,complain
tradition,tradition
net,net
victoire,victory
concours,competition
institut,institute
visiter,to visit
tentative,attempt
largement,widely
aboutir,achieve
vent,wind
technologie,technology
inquiet,worried
obstacle,obstacle
affecter,affect
revanche,revenge
ressembler,look like
station,station
uniquement,uniquely
supporter,support
mine,mine
ah,oh
favoriser,to favor
avion,plane
minimum,minimum
criminel,criminal
photo,photo
solide,solid
navire,ship
centaine,hundred
explication,explanation
transmettre,to transmit
appareil,device
correspondre,match
associer,associate
trait,line
bois,drink
publication,publication
symbole,symbol
consommation,consumption
courage,courage
identifier,identify
entretien,interview
encourager,encourage
reconnaissance,acknowledgement
signaler,report
division,division
contexte,context
coupable,guilty
favorable,favorable
amendement,amendment
attribuer,assign
courir,run
examen,exam
personnage,character
obligation,obligation
inconnu,unknown
montant,Rising
tableau,painting
exclure,exclude
meurtre,murder
exemplaire,copy
final,final
site,site
ouverture,opening
baisse,drop
mandat,mandate
quinze,fifteen
vide,empty
statut,Status
essai,essay
pareil,The same
italien,Italian
interrompre,interrupt
au-dessus,above
agence,agency
usine,factory
unir,unite
sourire,smile
sommet,summit
franchir,cross
comportement,behavior
rang,rank
vague,wave
culturel,cultural
sol,ground
d'autant,especially
leader,leader
taille,size
vertu,virtue
distance,distance
automne,autumn
vision,vision
investir,invest
diminuer,decrease
contenu,content
entourer,surround
juif,Jewish
conduite,conduct
convention,convention
prolonger,extend
verser,pour
essentiellement,basically
communiquer,communicate
approche,approach
bruit,noise
radio,radio
prudent,careful
vol,flight
marcher,to walk
tiers,third party
syndicat,union
occidental,western
suffisant,sufficient
ciel,sky
tromper,deceive
modeste,modest
aborder,to land
malheureusement,Unfortunately
interne,internal
voire,even
seconde,second
messieurs,gentlemen
effectivement,Effectively
gaz,gas
acteur,actor
adapter,adapt
souci,worry
expert,expert
relativement,relatively
comparer,compare
cour,court
provenir,arise from
conscient,aware
patient,patient
notion,notion
hausse,rise
diviser,divide
traditionnel,traditional
quart,quarter
approcher,approach
trafic,traffic
catholique,Catholic
adulte,adult
reprocher,to reproach
modification,modification
peser,to weigh
foyer,hearth
mari,husband
supprimer,DELETE
douter,doubt
hiver,winter
sexuel,sexual
consulter,to consult
renseignement,information
ressentir,to feel
fonctionnement,functioning
parfait,Perfect
incapable,unable
universel,universal
jeunesse,youth
voler,fly
menace,threat
inutile,useless
refus,refusal
poisson,fish
avouer,to confess to
saluer,greet
fer,iron
familial,family
prisonnier,prisoner
enseignement,education
dizaine,ten
dessus,above
calcul,calculation
fonctionnaire,official
instruction,instruction
pratiquement,practically
oser,to dare
rassembler,gather
achever,finish
fiscal,tax
corriger,to correct
volume,volume
exportation,export
prier,pray
trente,thirty
dominer,dominate
pur,pure
instrument,instrument
tort,wrong
hauteur,height
critiquer,criticize
autorisation,authorisation
assurance,insurance
drogue,drug
concret,concrete
attaque,attack
rythme,pace
approuver,approve
douze,twelve
juridique,legal
espagnol,Spanish
saison,season
percevoir,perceive
relier,relate
financement,funding
dos,back
consommateur,consumer
volontaire,voluntary
finance,finance
indien,Indian
persuader,persuade
annuel,annual
commentaire,comment
marier,marry
spectacle,show
pari,bet
ouest,west
sexe,sex
eh,eh
recours,appeal
accent,accent
introduire,introduce
communiste,Communist
couverture,blanket
religion,religion
appui,support
concert,concert
saint,Holy
descendre,to come down
marge,margin
abri,shelter
recette,recipe
vigueur,force
patron,boss
soleil,sun
ennemi,enemy
bourse,sotck exchange
dimension,dimension
baser,base
dialogue,dialogue
circuler,circulate
porte-parole,spokesperson
outil,tool
vacance,holiday
suffisamment,enough
