French,English
emprisonner,to jail
raisonnement,reasoning
lune,moon
quai,dock
cruel,cruel
quatorze,fourteen
redouter,to dread
monstre,monster
impasse,dead end
contredire,contradict
atelier,workshop
amical,friendly
empire,empire
redresser,to sort out
ramasser,pick up
politicien,politician
acheminer,convey
propagande,propaganda
colonie,colony
invisible,invisible
savant,learned
terreur,terror
recruter,recruit
conformer,conform
virus,virus
reconnaissant,grateful
infini,infinity
tunnel,tunnel
cousin,cousin
puiser,draw
ajuster,adjust
inattendu,unexpected
automatiquement,automatically
balance,balance
pompe,pump
contestation,CONTESTATION
sommeil,sleep
frein,brake
candidature,candidacy
armement,armament
iranien,Iranian
stupide,stupid
inspiration,inspiration
surpris,surprised
interpeller,to call out
symbolique,symbolic
pavillon,flag
sensation,sensation
troubler,to disrupt
angoisse,anguish
chaise,chair
pape,Pope
emprunt,loan
clause,clause
clef,key
tombe,fall
hautement,highly
blocage,blocking
faille,fault
fouiller,rummage
respectivement,respectively
intime,respondent
cerner,to surround
manche,sleeve
gamin,kid
temple,temple
arbitrage,arbitration
boucler,buckle
induire,induce
solitude,solitude
miner,undermine
superbe,stunning
gonfler,swell
missile,missile
minuit,midnight
veuf,widower
trame,frame
bain,bath
composante,component
instituer,institute
format,format
estimation,estimate
mutation,mutation
imminent,imminent
esclave,slave
marocain,Moroccan
menu,menu
imaginaire,imaginary
administrer,administer
atteinte,achievement
racheter,redeem
guise,as you wish
scandaleux,scandalous
nominal,nominal
manipuler,manipulate
peiner,toil
ennuyer,annoy
noble,noble
hebdomadaire,weekly
approbation,approval
protestant,Protestant
faisceau,beam
regagner,regain
renouvellement,renewal
pilier,pillar
animateur,animator
multinational,multinational
jouet,toy
complice,partner in crime
toile,cloth
laver,wash
empreinte,footprint
faillir,fail
passeport,passport
creux,hollow
homosexuel,homosexual
forum,forum
via,via
coter,rate
livraison,delivery
attachement,attachment
liquide,liquid
gamme,range
motivation,motivation
demeure,remains
geler,freeze
peintre,painter
volontairement,voluntarily
protestation,protest
cap,cape
raide,steep
maigre,skinny
artistique,artistic
aspirer,strive
magique,Magic
quasiment,nearly
allure,allure
deuil,grief
islamiste,Islamist
habituellement,usually
cynique,cynical
environnemental,environmental
constructeur,constructor
peindre,to paint
idiot,silly
querelle,quarrel
colonel,colonel
flic,cop
solitaire,lonely
herbe,grass
s'acharner,to persist
bombardement,bombing raid
explosif,explosive
singulier,singular
capitalisme,capitalism
suspension,suspension
mince,thin
assimiler,assimilate
plume,feather
publicitaire,advertising
bagage,luggage
opter,opt
habiller,dress
trajet,route
sinistre,sinister
pis,worse
reconstruire,rebuild
tueur,killer
tournoi,tournament
incarner,embody
douane,customs
domestique,domestic
soucieux,worried
dix-huit,eighteen
brusquement,suddenly
flamme,flame
alerte,alert
renforcement,reinforcement
immobilier,real estate
certificat,certificate
contaminer,contaminate
ange,angel
perception,perception
philosophe,philosopher
planche,plank
fiction,fiction
boisson,beverage
tirage,draw
habitation,dwelling
imposition,taxation
ajustement,adjustment
virer,fire
postal,postal
perturber,disturb
oncle,uncle
viol,rape
princesse,princess
gosse,kid
carburant,fuel
canon,cannon
prometteur,promising
apprentissage,learning
soi-disant,supposedly
culte,worship
salarial,salary
abolir,abolish
ruine,ruin
percer,drill
rassemblement,gathering
chaussure,shoe
soigneusement,thoroughly
pot,jar
impulsion,impulse
physiquement,physically
minimal,minimal
malentendu,misunderstanding
implanter,implant
descendant,descending
politiquement,politically
crever,die
interruption,interruption
patrie,country
ex,ex
studio,studio
prescrire,prescribe
polonais,Polish
tribu,tribe
apaiser,appease
familier,familiar
exhorter,urge
quinzaine,fortnight
globe,world
impatience,impatience
logiciel,software
visiblement,visibly
suicider,commit suicide
paralyser,paralyze
charme,charm
atout,asset
portugais,Portuguese
nord-ouest,North West
affaiblissement,weakening
renvoi,referral
peupler,populate
cauchemar,nightmare
venue,coming
ballon,ball
balayer,sweep
affrontement,confrontation
expulser,expel
resserrer,tighten
activement,actively
abstenir,abstain
compassion,compassion
couronne,crown
plancher,floor
trentaine,thirty
escalier,stairs
barrage,dam
descente,descent
effondrement,collapse
encaisser,cash in
baptiser,baptize
incompatible,incompatible
bienvenu,welcome
support,support
conjoncture,conjuncture
baie,bay
carnet,notebook
banc,bench
assise,seated
tiens,hold
vedette,featured
intervenant,speaker
contrer,to counter
nerveux,nervous
assaut,assault
architecte,architect
arbitraire,arbitrary
vraisemblablement,probably
propagation,spread
masculin,male
imiter,imitate
embaucher,to hire
couteau,knife
arbitre,arbitrator
manteau,coat
implication,involvement
reflet,reflection
primordial,primordial
rideau,curtain
manipulation,handling
piquer,sting
assiette,plate
rival,rival
refermer,close
confus,confused
reconstituer,reconstitute
gigantesque,gigantic
chant,singing
diplomatie,diplomacy
lieutenant,lieutenant
indirect,indirect
apte,apt
sud-ouest,South West
envergure,wingspan
touche,touch
sous-marin,submarine
acheminement,forwarding
assassin,assassin
confirmation,confirmation
tapis,carpet
corde,rope
notable,notable
rationnel,rational
externe,external
endormir,fall asleep
boutique,shop
autoroute,highway
divin,divine
explicite,explicit
par-dessus,Above
tailler,prune
apparent,apparent
s'enfuir,flee
assistant,assistant
portion,portion
allocation,allocation
quota,quota
dix-sept,seventeen
allonger,lengthen
chauffeur,driver
bourgeois,bourgeois
touristique,sightseeing
obscur,obscure
cou,neck
invention,invention
boucle,loop
redire,repeat
consultatif,advisory
torturer,torture
carton,cardboard
effrayer,scare
flou,vague
favori,favorite
noyau,core
brandir,brandish
repenser,rethink
timide,shy
insulter,insult
saut,leap
audition,hearing
programmation,programming
justification,justification
amende,fine
transit,transit
organisateur,organizer
galerie,gallery
conservation,conservation
char,tank
masquer,hide
masque,mask
manifestant,protester
festival,festival
radicalement,radically
franchise,franchise
propager,propagate
rectifier,rectify
tennis,tennis
avenue,avenue
axer,ax
vierge,virgin
vengeance,revenge
rapprochement,reconciliation
confession,confession
suspens,suspense
meuble,furniture
agenda,diary
phare,Lighthouse
virtuel,virtual
gagnant,winner
nettoyer,to clean
poing,fist
tante,aunt
chemise,shirt
pile,stack
diagnostic,diagnostic
douceur,candy
attester,attest
attraper,catch
prestigieux,prestigious
kilo,kilo
ruiner,ruin
nullement,in no way
incorporer,to incorporate
ficher,file
censure,censorship
croix,cross
accompli,accomplished
terriblement,terribly
invasion,invasion
orange,orange
jury,jury
linguistique,linguistic
rallier,rally
roue,wheel
barrer,bar
assigner,assign
constat,observation
communisme,Communism
dynamisme,dynamism
flagrant,blatant
souhaitable,desirable
loup,wolf
concerter,to consult
subit,undergoes
diplomate,Diplomat
paire,pair
essuyer,to wipe
exporter,export
reconduire,renew
handicap,disability
bonsoir,Good evening
joue,plays
autrui,others
bousculer,hustle
conversion,conversion
patte,paw
planifier,to plan
casque,helmet
tardif,late
natal,native
humour,humor
transitoire,transient
cabine,cabin
fardeau,burden
apport,bring
remboursement,refund
fondre,melt
occurrence,occurrence
authentique,authentic
attentivement,carefully
irlandais,Irish
confortable,comfortable
fonctionnel,functional
panne,breakdown
adieu,farewell
entre-temps,in the meantime
au-dessous,below
litre,liter
suivi,follow up
variation,variation
productif,productive
groupement,group
impuissant,powerless
restauration,restoration
souscrire,subscribe
modernisation,modernization
suffrage,vote
joyeux,happy
concilier,conciliate
tristesse,sadness
diable,devil
sombrer,sink
photographe,photographer
libanais,Lebanese
archives,archives
asile,asylum
rapporteur,rapporteur
indemnisation,compensation
harceler,harass
honteux,ashamed
leadership,leadership
portable,portable
qualification,qualification
insulte,insult
planer,hover
stage,internship
cahier,notebook
exil,exile
artisan,artisan
rassurant,reassuring
composant,component
hurler,to yell
yen,yen
gras,fat
statue,statue
frappe,struck
efficacement,effectively
golfe,gulf
ambiance,atmosphere
bus,bus
industrialiser,industrialize
charmant,charming
marginal,marginal
comptable,an accountant
isolement,isolation
porc,pork
appartenance,membership
constructif,constructive
minime,minimal
volant,flying
mobilisation,mobilization
racisme,racism
mairie,city ??hall
aptitude,aptitude
ralentissement,slow-down
convaincant,convincing
sou,penny
analyste,analyst
grossier,rude
sauvetage,rescue
pervers,pervert
sensiblement,noticeably
noyer,walnut
ignorance,ignoring
sceptique,skeptical
voiler,to veil
capter,capture
s'envoler,fly away
pasteur,pastor
activer,enable
chimie,chemistry
serment,oath
yougoslave,Yugoslavian
explicitement,explicitly
alerter,to alert
vigilance,vigilance
rock,rock
naviguer,navigate
revers,reverse
aviation,aviation
souplesse,flexibility
respectueux,respectful
trahison,treason
sursis,reprieve
techniquement,technically
os,bone
cote,side
contingent,quota
dictionnaire,dictionary
instruire,educate
inconscient,unconscious
chaleureux,warm
vitre,window
fantastique,fantastic
soustraire,to subtract
instable,unstable
vapeur,steam
beurre,butter
monument,monument
courbe,curve
consolider,consolidate
muet,mute
contrevenant,offender
offensive,offensive
oral,oral
coder,code
gel,freeze
controverse,controversial
routine,routine
relais,relay
opposant,opponent
aval,downstream
rubrique,section
provocation,provocation
filial,filial
versant,slope
grossesse,pregnancy
timbre,stamp
distributeur,distributer
sommaire,summary
colonial,colonial
pourparlers,talks
incidence,impact
fiable,reliable
vingt-quatre,twenty four
audacieux,bold
poudre,powder
teneur,content
inverser,reverse
naval,naval
vocabulaire,vocabulary
stabiliser,stabilize
centrer,center
alentour,surroundings
corrompre,to bribe
poitrine,chest
couronner,crown
relire,reread
sympathique,friendly
mouton,sheep
omettre,omit
typique,typical
concurrentiel,competitive
doctrine,doctrine
quotidiennement,daily
architecture,architecture
massacrer,massacre
englober,encompass
grossir,grow bigger
sortant,outgoing
plomb,lead
s'attarder,linger
nationaliste,nationalist
exportateur,exporter
montre,watch
ratifier,ratify
gorge,throat
exploit,feat
encourageant,encouraging
aviser,advise
alarme,alarm
parier,to bet
lunette,telescope
climatique,climate
confidentiel,confidential
sanctionner,sanction
recrutement,recruitment
entourage,entourage
autobus,bus
admiration,admiration
acide,acid
banal,banal
poulet,chicken
toilette,toilet
brigade,brigade
trembler,to shiver
civiliser,civilize
relance,RELAUNCH
dose,dose
distorsion,distortion
octroyer,grant
arrivant,arriving
standard,standard
taxi,Taxi
limitation,limitation
loyer,rent
furieux,furious
verbal,verbal
contacter,contact
commissariat,police station
gai,cheerful
confrontation,confrontation
chier,take a dump
fatal,fatal
rude,harsh
panneau,sign
atlantique,Atlantic
successeur,successor
replier,fold
dictateur,dictator
initialement,initially
avaler,swallow
extraction,extraction
banquier,banker
stabilisation,stabilization
mutuellement,mutually
lacune,gap
engin,machine
titulaire,holder
cloche,Bell
compatriote,compatriot
affection,affection
sel,salt
majoritaire,majority
minoritaire,minority
paradoxe,paradox
chiffrer,encrypt
catastrophique,catastrophic
magistrat,magistrate
extrait,extract
redressement,recovery
farce,prank call
enthousiaste,enthusiastic
quarantaine,quarantine
sous-sol,basement
rat,rat
flot,flow
amant,lover
partiellement,partially
radioactif,radioactive
passe,pass
location,rental
innocence,innocence
mordre,to bite
messe,mass
torture,torture
protecteur,protective
rayonnement,radiation
bijou,jewel
danseur,dancer
expertise,expertise
minier,mining
vitrine,showcase
valise,suitcase
vocal,vocal
combustible,combustible
tisser,weave
poule,chicken
punition,punishment
rentable,profitable
loyal,loyal
renfort,reinforcement
souris,mouse
bombarder,bomb
semestre,semester
croyant,believer
brutalement,brutally
lourdement,heavily
tente,tent
goutte,drop
moine,monk
vice,vice
symboliser,symbolize
substituer,substitute
commandant,commanding officer
chuter,fall
basculer,to fall over
gestionnaire,administrator
redoutable,formidable
subtil,subtle
alourdir,to become heavier
jumeau,twin
confiant,confident
immigrant,immigrant
intact,intact
vigoureux,vigorous
pendre,hang
incliner,tilt
affreux,awful
conte,tale
ironie,irony
serveur,server
bannir,ban
insuffisance,insufficiency
librairie,library
philosophique,philosophical
miser,bet
boursier,scholarship holder
substitution,substitution
parer,parry
avantageux,advantageous
handicaper,handicap
filmer,film
perdant,losing
altitude,altitude
imputer,impute
plaisanter,kidding
nord-est,northeast
desservir,serve
connerie,bullshit
sanglant,bloody
coude,elbow
report,postponement
mensuel,monthly
globalement,globally
convenable,suitable
purger,purge
repasser,iron
aucunement,in no way
palier,landing
prochainement,shortly
costume,suit
reproche,reproach
alternatif,alternative
soulagement,relief
dissoudre,dissolve
avalanche,avalanche
mark,mark
incitation,incentive
conjugal,marital
visa,Visa
vingt-cinq,twenty five
score,score
renier,deny
juridiction,jurisdiction
prostitution,prostitution
fiche,form
gendarme,constable
entraver,hinder
sous-estimer,underestimate
embargo,embargo
interdit,forbidden
brouillard,fog
syrien,Syrian
jet,jet
occupant,occupant
ponctuel,punctual
manuscrit,manuscript
panier,basket
immobile,motionless
passionnant,exciting
bouton,button
immigrer,immigrate
tache,stain
tendresse,tenderness
slogan,slogan
fromage,cheese
toxique,toxic
advenir,happen
pharmaceutique,pharmaceutical
parfum,scent
antique,antique
instinct,instinct
insupportable,intolerable
opportun,timely
parquet,parquet
navigation,navigation
contrarier,annoy
nouer,tie
barreau,bar
cinquantaine,fifty
improviser,improvise
auto,car
troupeau,herd
gendarmerie,gendarmerie
frustration,frustration
analogue,similar
venu,came
ironique,ironic
sonore,sound
initier,initiate
cessez-le-feu,ceasefire
boue,mud
sanitaire,sanitary
empereur,emperor
dissiper,dispel
liquider,liquidate
maintenance,maintenance
pneu,tire
fraude,fraud
entrevoir,glimpse
stipuler,to stipulate
flotter,float
fraction,fraction
coton,cotton
conditionnel,conditional
nuance,shade
improbable,unlikely
conjointement,jointly
impatient,impatient
versement,payment
bosser,work
articuler,articulate
successivement,successively
bordel,mess
provision,provision
amplifier,amplify
ceinture,belt
intergouvernemental,intergovernmental
mexicain,Mexican
saisonnier,seasonal
souterrain,underground
merveille,wonder
restituer,restore
balancer,swing
seigneur,lord
infiniment,infinitely
acquis,acquired
glissement,slip
auditeur,listener
indirectement,indirectly
obtention,obtaining
grandissant,growing
chagrin,grief
chocolat,chocolate
soupe,soup
bravo,well done
concitoyen,fellow citizen
lumineux,luminous
signataire,signatory
ski,ski
douanier,customs officer
syndrome,syndrome
borner,limit
triompher,triumph
complot,conspiracy
soumission,submission
continuellement,continually
romancier,novelist
sorcier,Wizard
consigne,order
harmonie,harmony
pleuvoir,rain
innombrable,innumerable
lance,spear
blond,blond
diversifier,to diversify
fatigue,fatigue
comte,county
amer,bitter
orchestre,orchestra
est,East
envelopper,wrap
troublant,disturbing
foncier,land
fouet,whip
baigner,bathe
fixation,fixation
encadrement,management
photographier,photograph
moderniser,modernize
incomber,to incumb
solde,pay
bouleversement,upheaval
relater,to relate
chiite,Shi'ite
rayer,scratch
coulisse,slide
instituteur,teacher
emplacement,location
copier,to copy
inculper,charge
renouveau,renewal
ratification,ratification
documentation,documentation
logiquement,logically
spectre,spectrum
rouvrir,reopen
harmoniser,harmonize
mou,soft
venger,revenge
basque,Basque
soif,thirsty
accumulation,accumulation
solaire,solar
essor,boom
autoritaire,authoritarian
aimable,kind
pantalon,pants
anormal,unnatural
emmerder,annoy
inondation,flood
poumon,lung
humble,humble
perturbation,disturbance
brouiller,blur
illustration,drawing
aveu,confession
fermier,farmer
hanter,haunt
cordon,cord
lasser,tire
influer,to influence
stopper,stop
kurde,Kurdish
amusant,amusing
tremblement,tremor
rail,rail
fondamentalement,fundamentally
lampe,lamp
plate-forme,platform
triple,triple
supplier,to beg
multiplication,multiplication
camoufler,camouflage
diamant,diamond
guerrier,warrior
comique,comical
planification,planning
regroupement,grouping
odieux,odious
figer,freeze
nocturne,nocturnal
configuration,configuration
escompter,discount
intensif,intensive
scepticisme,skepticism
poil,hair
minimiser,minimize
murmurer,whisper
implantation,implantation
replacer,replace
Islam,Islam
trottoir,sidewalk
vieillard,old man
fillette,little girl
enchanter,enchant
singe,monkey
superficiel,superficial
rigide,rigid
fourniture,supply
taxer,tax
milice,militia
foire,fair
borne,thick headed
organique,organic
exclu,excluded
boucher,butcher
commencement,beginning
licenciement,dismissal
chancelier,chancellor
retenue,detention
exiler,exile
rocher,rock
regrettable,regrettable
droguer,drug
plaie,wound
confort,comfort
tube,tube
coffre,chest
intimider,intimidate
connecter,connect
notoire,notorious
graphique,chart
annulation,cancelation
acceptation,acceptance
textile,textile
forger,to forge
chirurgien,surgeon
orage,thunderstorm
boule,ball
hall,lobby
visuel,visual
hormis,except
jadis,formerly
fasciner,fascinate
dilemme,dilemma
progressiste,progressive
semblant,pretend
ours,bear
duc,duke
raciste,racist
stress,stress
inexistant,non-existent
danois,Danish
retrancher,remove
renfermer,enclose
vieillesse,old age
traditionnellement,traditionally
batterie,battery
foie,liver
gratuitement,free
navette,shuttle
blague,joke
inaugurer,inaugurate
repli,fallback
contrepartie,consideration
proportionnel,proportional
boulevard,boulevard
triomphe,triumph
serre,tight
convoi,convoy
aboutissement,outcome
psychologie,psychology
maltraiter,mistreat
puits,well
humide,humid
terrien,earthling
continental,continental
embauche,hiring
verdict,verdict
dix-neuf,nineteen
micro,microphone
frustrer,frustrate
anglo-saxon,Anglo-Saxon
questionner,to question
injecter,inject
guetter,to watch
exploration,exploration
caresser,caress
hymne,anthem
famine,famine
couramment,fluently
caution,bail
affectation,assignment
salaud,bastard
cave,cellar
bond,jump
enclin,inclined
foudre,lightning
justesse,accuracy
rente,annuity
clan,clan
garage,garage
romantique,romantic
vulgaire,vulgar
nettoyage,cleaning
militer,campaign
jungle,jungle
case,box
craquer,crack
soixante-dix,seventy
clarifier,clarify
traite,treaty
oubli,oversight
distant,distant
montage,assembly
claquer,slam
insensible,insensitive
buter,abut
bulle,bubble
promoteur,promoter
albanais,Albanian
obsession,obsession
exciter,excite
savoir-faire,expertise
vendu,sold
munition,ammunition
capturer,capture
compliment,compliment
voisinage,neighborhood
scandaliser,scandalize
cassette,cassette
s'empresser,hurry
inonder,flood
sonder,probe
vigilant,vigilant
allouer,allocate
cage,cage
golf,golf
forestier,forest
hum,hum
ravager,ravage
ensuivre,follow
ajourner,adjourn
viable,viable
cochon,pig
racial,racial
atroce,atrocious
civique,civic
ancrer,anchor
raccrocher,to hang up
cirque,circus
barbare,barbaric
confiner,to confine
agrandir,enlarge
occasionner,cause
malin,clever
performant,efficient
audiovisuel,audio-visual
cuire,cook
raser,to shave
ha,Ha
revivre,relive
piano,piano
concertation,consultation
vaisseau,vessel
interaction,interaction
sillage,wake
synonyme,synonymous
hisser,hoist
comble,attic
pessimiste,pessimistic
insignifiant,insignificant
solidaire,united
ferroviaire,railway
bosniaque,Bosnian
agitation,hustle
exode,Exodus
aire,area
socialisme,socialism
harmonisation,harmonization
provisoirement,temporarily
cocktail,cocktail
moyenne,average
rigoler,to laugh
orgueil,pride
compression,compression
