state,x,y
Andhra Pradesh,-90,-189
Arunachal Pradesh,243,151
Assam,182,104
Bihar,63,85
Chhattisgarh,-22,-26
Goa,-201,-175
Gujarat,-237,21
Haryana,-148,166
Himachal Pradesh,-120,233
Jammu Kashmir,-170,283
Jharkhand,60,21
Karnataka,-174,-222
Kerala,-150,-292
Madhya Pradesh,-100,26
Maharashtra,-190,-70
Manipur,252,73
Meghalaya,187,84
Mizoram,236,36
Nagaland,267,109
Odisha,29,-53
Punjab,-167,199
Rajasthan,-219,111
Sikkim,126,130
Tamil Nadu,-93,-264
Tripura,206,39
Uttar Pradesh,-47,101
Uttarakhand,-81,193
West Bengal,121,23
Telangana,-80,-110